Distinct y {np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7)}
Sample X (1, 54)
Sample y [2 2 2]
Loss in batch 0 is 42.08845520019531
Loss in batch 1 is 74.54487609863281
Loss in batch 2 is 211.8425750732422
Loss in batch 3 is 30.47807502746582
Loss in batch 4 is 41.872840881347656
Loss in batch 5 is 34.07744598388672
Loss in batch 6 is 28.49464988708496
Loss in batch 7 is 16.88622283935547
Loss in batch 8 is 8.089621543884277
Loss in batch 9 is 3.7229721546173096
Loss in batch 10 is 4.219462871551514
Loss in batch 11 is 3.840226173400879
Loss in batch 12 is 2.8976030349731445
Loss in batch 13 is 4.235575199127197
Loss in batch 14 is 6.848866939544678
Loss in batch 15 is 2.385650157928467
Loss in batch 16 is 1.9606610536575317
Loss in batch 17 is 1.7589679956436157
Loss in batch 18 is 2.5251007080078125
Loss in batch 19 is 2.9467930793762207
Loss in batch 20 is 1.9062224626541138
Loss in batch 21 is 4.738687038421631
Loss in batch 22 is 2.860445261001587
Loss in batch 23 is 3.7295517921447754
Loss in batch 24 is 1.3805264234542847
Loss in batch 25 is 2.375502586364746
Loss in batch 26 is 2.3531317710876465
Loss in batch 27 is 1.6355935335159302
Loss in batch 28 is 1.4738680124282837
Loss in batch 29 is 1.3419605493545532
Loss in batch 30 is 2.409191370010376
Loss in batch 31 is 3.2625927925109863
Loss in batch 32 is 2.380100965499878
Loss in batch 33 is 2.1011300086975098
Loss in batch 34 is 3.0911636352539062
Loss in batch 35 is 2.6868040561676025
Loss in batch 36 is 1.327537178993225
Loss in batch 37 is 1.2931219339370728
Loss in batch 38 is 1.567183494567871
Loss in batch 39 is 1.4953598976135254
Loss in batch 40 is 1.746671438217163
Loss in batch 41 is 1.9631190299987793
Loss in batch 42 is 1.7478848695755005
Loss in batch 43 is 1.9451063871383667
Loss in batch 44 is 2.6372878551483154
Loss in batch 45 is 1.4436155557632446
Loss in batch 46 is 1.5573160648345947
Loss in batch 47 is 1.0919904708862305
Loss in batch 48 is 1.5653021335601807
Loss in batch 49 is 1.2834199666976929
Loss in batch 50 is 1.9888176918029785
Loss in batch 51 is 1.68573796749115
Loss in batch 52 is 1.4274969100952148
Loss in batch 53 is 1.6410433053970337
Loss in batch 54 is 1.3544878959655762
Loss in batch 55 is 1.739177942276001
Loss in batch 56 is 1.5345404148101807
Loss in batch 57 is 1.6502219438552856
Loss in batch 58 is 0.9450567960739136
Loss in batch 59 is 1.3623459339141846
Loss in batch 60 is 1.3019639253616333
Loss in batch 61 is 1.5636805295944214
Loss in batch 62 is 1.247307300567627
Loss in batch 63 is 1.0061535835266113
Loss in batch 64 is 1.2752304077148438
Loss in batch 65 is 1.624223232269287
Loss in batch 66 is 1.5523228645324707
Loss in batch 67 is 1.4582105875015259
Loss in batch 68 is 1.605422854423523
Loss in batch 69 is 1.5184258222579956
Loss in batch 70 is 1.1845839023590088
Loss in batch 71 is 1.2488744258880615
Loss in batch 72 is 1.1864759922027588
Loss in batch 73 is 1.0988059043884277
Loss in batch 74 is 0.9767137169837952
Loss in batch 75 is 1.4874576330184937
Loss in batch 76 is 1.688289999961853
Loss in batch 77 is 1.4261919260025024
Loss in batch 78 is 1.0607795715332031
Loss in batch 79 is 2.150996446609497
Loss in batch 80 is 0.9485921859741211
Loss in batch 81 is 1.2775933742523193
Loss in batch 82 is 1.0172382593154907
Loss in batch 83 is 1.4466503858566284
Loss in batch 84 is 1.8118818998336792
Loss in batch 85 is 1.2163583040237427
Loss in batch 86 is 1.3457955121994019
Loss in batch 87 is 1.1580612659454346
Loss in batch 88 is 1.0073091983795166
Loss in batch 89 is 1.6414110660552979
Loss in batch 90 is 1.5111092329025269
Loss in batch 91 is 1.4379264116287231
Loss in batch 92 is 1.2845157384872437
Loss in batch 93 is 1.610443115234375
Loss in batch 94 is 1.4339340925216675
Loss in batch 95 is 1.13596510887146
Loss in batch 96 is 0.979343831539154
Loss in batch 97 is 1.4886858463287354
Loss in batch 98 is 0.8643065094947815
Loss in batch 99 is 1.2166333198547363
Loss in batch 100 is 1.6306577920913696
Loss in batch 101 is 0.9981708526611328
Loss in batch 102 is 1.8786882162094116
Loss in batch 103 is 1.9549546241760254
Loss in batch 104 is 2.019680976867676
Loss in batch 105 is 1.3159359693527222
Loss in batch 106 is 1.2701293230056763
Loss in batch 107 is 1.0429702997207642
Loss in batch 108 is 1.0439610481262207
Loss in batch 109 is 1.6136634349822998
Loss in batch 110 is 0.9929259419441223
Loss in batch 111 is 0.9922316670417786
Loss in batch 112 is 1.150742769241333
Loss in batch 113 is 1.543092966079712
Loss in batch 114 is 1.2572678327560425
Loss in batch 115 is 1.6243598461151123
Loss in batch 116 is 1.5161666870117188
Loss in batch 117 is 1.1047197580337524
Loss in batch 118 is 1.2633370161056519
Loss in batch 119 is 0.9799432158470154
Loss in batch 120 is 1.2537815570831299
Loss in batch 121 is 1.3245394229888916
Loss in batch 122 is 1.2237796783447266
Loss in batch 123 is 1.2538387775421143
Loss in batch 124 is 1.3477427959442139
Loss in batch 125 is 1.2698731422424316
Loss in batch 126 is 0.9914146661758423
Loss in batch 127 is 1.6098932027816772
Loss in batch 128 is 0.990382194519043
Loss in batch 129 is 1.2627099752426147
Loss in batch 130 is 0.9812248349189758
Loss in batch 131 is 1.1300830841064453
Loss in batch 132 is 1.0058097839355469
Loss in batch 133 is 1.1160533428192139
Loss in batch 134 is 0.9833376407623291
Loss in batch 135 is 1.0698210000991821
Loss in batch 136 is 1.2582917213439941
Loss in batch 137 is 1.4011707305908203
Loss in batch 138 is 1.4209822416305542
Loss in batch 139 is 1.1269952058792114
Loss in batch 140 is 1.0160467624664307
Loss in batch 141 is 0.9641938805580139
Loss in batch 142 is 1.0560595989227295
Loss in batch 143 is 1.1094257831573486
Loss in batch 144 is 1.4414137601852417
Loss in batch 145 is 1.159348964691162
Loss in batch 146 is 1.1225948333740234
Loss in batch 147 is 1.4415279626846313
Loss in batch 148 is 1.1581748723983765
Loss in batch 149 is 1.249455213546753
Loss in batch 150 is 0.9295154213905334
Loss in batch 151 is 1.3232771158218384
Loss in batch 152 is 1.4106485843658447
Loss in batch 153 is 1.3972439765930176
Loss in batch 154 is 1.2038229703903198
Loss in batch 155 is 1.0746269226074219
Loss in batch 156 is 1.1611227989196777
Loss in batch 157 is 1.2184357643127441
Loss in batch 158 is 1.3186367750167847
Loss in batch 159 is 1.0677419900894165
Loss in batch 160 is 1.1634602546691895
Loss in batch 161 is 1.1536166667938232
Loss in batch 162 is 1.6711755990982056
Loss in batch 163 is 1.6350548267364502
Loss in batch 164 is 1.342900037765503
Loss in batch 165 is 1.1981611251831055
Loss in batch 166 is 1.02467942237854
Loss in batch 167 is 1.0963120460510254
Loss in batch 168 is 1.291754961013794
Loss in batch 169 is 1.1352999210357666
Loss in batch 170 is 1.059101939201355
Loss in batch 171 is 1.0990805625915527
Loss in batch 172 is 0.972590982913971
Loss in batch 173 is 1.0546088218688965
Loss in batch 174 is 1.2311019897460938
Loss in batch 175 is 1.1107197999954224
Loss in batch 176 is 0.968746542930603
Loss in batch 177 is 1.0224469900131226
Loss in batch 178 is 1.2385181188583374
Loss in batch 179 is 1.2657264471054077
Loss in batch 180 is 1.0547730922698975
Loss in batch 181 is 1.105692982673645
Loss in batch 182 is 1.2692402601242065
Loss in batch 183 is 1.1624789237976074
Loss in batch 184 is 1.6525602340698242
Loss in batch 185 is 1.0851279497146606
Loss in batch 186 is 0.9950070977210999
Loss in batch 187 is 1.0949238538742065
Loss in batch 188 is 1.411403775215149
Loss in batch 189 is 1.004257082939148
Loss in batch 190 is 1.4960951805114746
Loss in batch 191 is 0.943993330001831
Loss in batch 192 is 1.0664794445037842
Loss in batch 193 is 1.3981075286865234
Loss in batch 194 is 1.2627705335617065
